ResponseId,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_3dMt4KDbES4zt2k,19,2,4,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,4,3,4,3,1,4,4,4,4,4,1,1,2,1,1,1
R_22KN9KxHdoU3MW9,19,1,1,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1,2,1,1,1
R_OloEB2ZWUcZBuA9,18,1,2,1,4,3,2,1,2,1,4,3,1,3,2,3,2,1,2,2,2,3,1,4,1,2,3,3,4,2,1,3,1,2,3
R_PG98mrIV0s9YPIZ,18,2,5,1,4,3,2,1,2,1,4,3,2,1,2,2,2,3,3,3,3,3,1,1,1,4,2,1,4,3,1,1,3,1,3
R_9soMmFR0K5NfqDf,18,1,6,1,4,3,2,1,2,1,4,4,4,4,2,2,3,1,3,4,3,4,3,1,2,2,2,2,2,1,1,1,1,1,1
R_2tM7L65WH3s3Tax,20,2,1,2,3,4,5,1,1,2,1,1,3,3,1,1,2,2,3,2,4,2,2,3,4,1,4,1,4,4,2,4,4,3,3
R_2yflHPKs1NijNJT,18,2,2,2,3,4,5,1,1,2,1,1,1,4,1,1,2,1,2,2,1,1,2,3,3,4,3,1,1,4,2,1,4,4,4
R_3oBznhmHl8gzamY,20,2,2,2,3,4,5,1,1,2,1,1,1,3,1,1,2,3,2,4,2,3,2,2,2,3,4,4,4,4,3,4,4,2,3
R_2vijORHG4TXRsME,20,2,2,2,3,4,5,1,1,2,1,1,1,2,1,2,2,4,1,1,3,2,2,3,3,3,3,3,3,4,4,4,4,4,4
R_1EjopEsgRwgcoqu,18,2,6,2,3,4,5,1,1,2,1,1,1,1,1,1,1,4,2,2,2,2,2,3,3,3,3,1,2,4,4,2,4,4,4
R_1gdb4fv5zOZRDZg,19,2,1,2,3,4,5,1,1,2,1,1,1,1,2,1,1,2,2,2,2,4,4,3,3,2,3,3,3,4,2,4,4,4,4
R_1OqKHHojBXnjZs9,21,1,4,2,3,4,5,1,1,2,1,1,1,1,1,1,1,2,4,2,2,1,3,3,3,1,3,3,2,4,4,2,4,4,4
R_2arBxHGtHEVX0nV,18,2,6,2,3,4,5,1,1,2,1,1,1,1,1,1,1,4,4,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
R_3ncttULOviO9GhF,22,1,2,2,3,4,5,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
R_Rzb9BKkheW3HOJr,22,1,1,2,3,4,5,1,1,2,1,1,4,3,1,1,3,2,2,2,4,2,2,3,3,3,3,3,3,4,4,4,4,4,4
R_2ttb6NNekwlN1UJ,19,2,6,2,3,4,5,1,1,2,1,1,4,3,3,3,4,3,3,2,3,4,2,3,2,2,3,3,2,2,4,2,4,4,1
R_3DjQe49nr5fLiIC,19,2,5,2,3,4,5,1,1,2,1,1,2,1,1,1,1,4,2,2,2,2,4,3,3,3,3,3,3,4,1,4,4,4,4
R_3oNpW5EhAijAqAh,18,2,1,2,3,4,5,1,1,2,1,1,1,1,1,1,2,2,4,2,2,2,2,1,3,2,2,3,3,4,4,4,1,4,4
R_1NFhjK3CL41DArC,21,2,2,2,3,4,5,1,1,2,1,1,1,1,1,2,1,1,2,3,2,1,2,4,3,2,3,3,2,4,4,3,4,2,4
R_3DnZA9zPqL64RLJ,20,2,1,2,3,4,5,1,1,2,1,1,1,2,1,1,1,4,2,3,4,3,3,2,4,2,3,3,2,2,2,2,1,3,1
R_uxMx2gHwxvQj3SV,20,1,1,2,3,4,5,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,1,3,3,3,1,4,4,4,4,4
R_1mmdI4sfKBftiVs,19,2,1,2,3,4,5,1,1,2,1,1,1,1,1,1,1,4,2,2,1,1,2,3,3,1,2,3,2,4,4,4,4,4,4
R_32LdGj7gY5QJsXb,20,1,1,2,3,4,5,1,1,2,1,1,1,2,4,2,2,1,2,3,2,2,4,3,3,3,4,3,4,4,1,2,1,1,2
R_25A6StPHHSnnkL2,19,2,6,2,3,4,5,1,1,2,1,2,1,2,1,2,1,3,2,4,4,2,2,4,3,3,4,4,3,4,2,1,2,4,4
R_1DUzFz2lGdXJbUl,19,2,5,2,3,4,5,1,1,2,1,2,2,2,3,2,3,1,1,1,1,1,1,4,4,4,3,4,4,2,2,3,2,2,2
R_3fK90szvOz0vx42,18,2,1,2,3,4,5,1,1,2,1,2,3,4,2,2,3,3,3,2,3,4,4,1,1,3,1,2,1,3,3,3,2,2,2
R_1hEzsH64pVi9IC0,18,2,2,2,3,4,5,1,1,2,1,2,1,1,2,1,2,2,4,1,2,2,1,3,3,3,3,3,3,4,4,1,1,4,4
R_DjKtXKThLqajicF,18,2,2,2,3,4,5,1,1,2,1,3,4,2,2,3,4,1,1,4,1,2,3,3,2,3,1,4,2,1,1,4,3,3,4
R_1i5qQfJ0GcDNeb1,21,2,2,2,3,4,5,1,1,2,1,4,4,4,4,3,4,3,3,1,3,3,3,3,3,3,3,3,4,2,2,2,2,1,2
R_3FIkSkAkNl7kBDj,18,2,2,5,2,3,4,1,1,2,2,1,2,2,1,4,2,1,2,1,1,4,2,3,4,4,2,3,3,4,3,3,4,4,3
R_3oyDOWu5PwbELPL,20,2,3,5,2,3,4,1,1,2,2,1,2,3,1,1,3,3,1,4,1,1,1,3,2,2,2,3,3,2,3,2,2,1,4
R_2vYZQI8r4iI20W9,18,2,3,5,2,3,4,1,1,2,2,1,2,4,4,4,1,2,3,1,1,1,1,1,3,3,2,3,3,2,1,1,1,2,4
R_2U3l6djiw5tNBca,18,2,6,5,2,3,4,1,1,2,2,3,4,4,4,4,4,3,3,1,3,3,4,2,3,2,2,2,2,4,3,3,4,3,1
R_3oGt8srGkt1wJRA,18,2,6,5,2,3,4,1,1,2,2,3,4,3,3,4,3,1,4,1,1,3,4,4,2,4,2,2,2,3,1,1,2,3,3
